file_path,token_count,word_count,character_count,estimated_pages,directory,filename
plan_comptable\chapitres_word\partie_2\chapitre_13.docx,1591,789,4384,2.6,plan_comptable\chapitres_word\partie_2,chapitre_13.docx
plan_comptable\chapitres_word\partie_2\chapitre_40.docx,1531,780,4721,2.6,plan_comptable\chapitres_word\partie_2,chapitre_40.docx
plan_comptable\chapitres_word\partie_4\chapitre_6.docx,1491,721,4146,2.4,plan_comptable\chapitres_word\partie_4,chapitre_6.docx
plan_comptable\chapitres_word\partie_2\chapitre_12.docx,1479,775,4167,2.6,plan_comptable\chapitres_word\partie_2,chapitre_12.docx
plan_comptable\chapitres_word\partie_2\chapitre_34.docx,1466,766,4997,2.6,plan_comptable\chapitres_word\partie_2,chapitre_34.docx
plan_comptable\chapitres_word\partie_2\chapitre_33.docx,1424,732,4344,2.4,plan_comptable\chapitres_word\partie_2,chapitre_33.docx
plan_comptable\chapitres_word\partie_2\chapitre_8.docx,1421,663,4420,2.2,plan_comptable\chapitres_word\partie_2,chapitre_8.docx
plan_comptable\chapitres_word\partie_2\chapitre_25.docx,1322,745,4842,2.5,plan_comptable\chapitres_word\partie_2,chapitre_25.docx
plan_comptable\chapitres_word\partie_2\chapitre_11.docx,1287,581,3703,1.9,plan_comptable\chapitres_word\partie_2,chapitre_11.docx
plan_comptable\chapitres_word\partie_2\chapitre_18.docx,1195,638,3971,2.1,plan_comptable\chapitres_word\partie_2,chapitre_18.docx
plan_comptable\chapitres_word\partie_2\chapitre_16.docx,1160,555,3402,1.9,plan_comptable\chapitres_word\partie_2,chapitre_16.docx
plan_comptable\chapitres_word\partie_2\chapitre_32.docx,1147,634,4032,2.1,plan_comptable\chapitres_word\partie_2,chapitre_32.docx
plan_comptable\chapitres_word\partie_2\chapitre_14.docx,1137,645,3660,2.1,plan_comptable\chapitres_word\partie_2,chapitre_14.docx
plan_comptable\chapitres_word\partie_4\chapitre_5.docx,1043,521,3045,1.7,plan_comptable\chapitres_word\partie_4,chapitre_5.docx
plan_comptable\chapitres_word\partie_4\chapitre_4.docx,913,562,3557,1.9,plan_comptable\chapitres_word\partie_4,chapitre_4.docx
plan_comptable\chapitres_word\partie_2\chapitre_6.docx,906,434,2724,1.4,plan_comptable\chapitres_word\partie_2,chapitre_6.docx
